page,brand,model,category,size,storage,color,price,source,condition,date,article_number,n_of_reviews,rating,delivery_time
4,xiaomi,redmi note 13 4g,Smartphone,6.67,128,green,169.0,https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-13-4g-2220886.html,new,2024-04-07,2220886.0,3,4.7,7.0
4,motorola,moto g54 5g,Smartphone,6.5,256,blue,172.0,https://www.mediamarkt.ch/de/product/_motorola-moto-g54-5g-2216177.html,new,2024-04-07,2216177.0,21,4.9,2.0
4,google,pixel 8 pro,Smartphone,6.7,128,unknown,921.0,https://www.mediamarkt.ch/de/product/_google-pixel-8-pro-2214719.html,new,2024-04-07,2214719.0,11,4.5,
4,samsung,xcover6 pro enterprise edition,Smartphone,6.6,128,schwarz,419.0,https://www.mediamarkt.ch/de/product/_samsung-xcover6-pro-enterprise-edition-2140676.html,new,2024-04-07,2140676.0,2,3.0,
4,samsung,galaxy s24 ultra,Smartphone,6.8,512,titanium,1399.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s24-ultra-2220735.html,new,2024-04-07,2220735.0,786,4.7,2.0
4,samsung,galaxy s23 ultra,Smartphone,6.8,512,green,987.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167389.html,new,2024-04-07,2167389.0,613,4.6,2.0
4,samsung,galaxy a55 5g,Smartphone,6.6,128,unknown,429.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a55-5g-2237051.html,new,2024-04-07,2237051.0,0,0.0,2.0
4,samsung,galaxy a35 5g,Smartphone,6.6,128,unknown,359.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2237047.html,new,2024-04-07,2237047.0,0,0.0,4.0
4,samsung,galaxy a54 5g,Smartphone,6.4,256,unknown,439.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2177750.html,new,2024-04-07,2177750.0,309,4.4,4.0
4,samsung,galaxy a35 5g,Smartphone,6.6,128,unknown,359.0,https://www.mediamarkt.ch/de/product/_samsung-galaxy-a35-5g-2237046.html,new,2024-04-07,2237046.0,0,0.0,4.0
4,xiaomi,14 + electric scooter 4 lite swiss edition bundle,Smartphone,6.36,512,green,1099.0,https://www.mediamarkt.ch/de/product/_xiaomi-14-electric-scooter-4-lite-swiss-edition-bundle-2238859.html,new,2024-04-07,2238859.0,0,0.0,7.0
5,fairphone,5 5g,Smartphone,6.46,256,unknown,595.0,https://www.mediamarkt.ch/de/product/_fairphone-5-5g-2195008.html,new,2024-04-07,2195008.0,4,4.8,2.0
